geometry,Hotels,Price (â‚¬),Link
POINT (10.811210000000074 44.63871000000006),Agriturismo Fattoria Corte Roeli,151,https://www.booking.com/hotel/it/agriturismo-fattoria-corte-roeli.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=28097901_272360574_2_34_0&highlighted_blocks=28097901_272360574_2_34_0&matching_block_id=28097901_272360574_2_34_0&sr_pri_blocks=28097901_272360574_2_34_0__14000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
POINT (11.04855904494845 44.688805047560784),La Casetta di Badolo,151,https://www.booking.com/hotel/it/la-casetta-di-badolo.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=303569703_340065081_2_1_0&highlighted_blocks=303569703_340065081_2_1_0&matching_block_id=303569703_340065081_2_1_0&sr_pri_blocks=303569703_340065081_2_1_0__14000&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),Il Leprotto - Room & Breakfast,154,https://www.booking.com/hotel/it/il-leprotto-room-amp-breakfast.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=820482103_344728585_0_0_0&highlighted_blocks=820482103_344728585_0_0_0&matching_block_id=820482103_344728585_0_0_0&sr_pri_blocks=820482103_344728585_0_0_0__14256&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
POINT (11.66244000000006 46.375830000000065),Hotel Garden,138,https://www.booking.com/hotel/it/garden-altedo.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=164016706_195272086_2_0_0&highlighted_blocks=164016706_195272086_2_0_0&matching_block_id=164016706_195272086_2_0_0&sr_pri_blocks=164016706_195272086_2_0_0__12800&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),B&B Hotel Bologna,141,https://www.booking.com/hotel/it/nettunobologna.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=8114607_88435243_0_2_0&highlighted_blocks=8114607_88435243_0_2_0&matching_block_id=8114607_88435243_0_2_0&sr_pri_blocks=8114607_88435243_0_2_0__13100&from=searchresults#hotelTmpl
POINT (10.877060000000029 44.637380000000064),Hotel Paradiso,162,https://www.booking.com/hotel/it/paradiso-castelfranco-emilia.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=601180704_329671775_0_0_0&highlighted_blocks=601180704_329671775_0_0_0&matching_block_id=601180704_329671775_0_0_0&sr_pri_blocks=601180704_329671775_0_0_0__15000&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),Hotel Parigi,162,https://www.booking.com/hotel/it/parigi-castel-san-pietro-terme.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=151265101_87874268_0_2_0&highlighted_blocks=151265101_87874268_0_2_0&matching_block_id=151265101_87874268_0_2_0&sr_pri_blocks=151265101_87874268_0_2_0__15010&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),Saffi Huge Apartment a pochi passi dall'Ospedale,164,https://www.booking.com/hotel/it/saffi-huge-apartment-a-pochi-passi-dall-ospedale.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=792988401_339143428_2_0_0&highlighted_blocks=792988401_339143428_2_0_0&matching_block_id=792988401_339143428_2_0_0&sr_pri_blocks=792988401_339143428_2_0_0__15240&from=searchresults#hotelTmpl
POINT (10.909252191539982 44.62201063751443),Combo Bologna,165,https://www.booking.com/hotel/it/we-bologna.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=145948104_87357279_0_1_0%2C145948102_87357279_0_1_0&highlighted_blocks=145948104_87357279_0_1_0%2C145948102_87357279_0_1_0&matching_block_id=145948104_87357279_0_1_0&sr_pri_blocks=145948104_87357279_0_1_0__7041%2C145948102_87357279_0_1_0__8216&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),Sophia,151,https://www.booking.com/hotel/it/sophia-bologna1.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=346603801_153500122_2_0_0&highlighted_blocks=346603801_153500122_2_0_0&matching_block_id=346603801_153500122_2_0_0&sr_pri_blocks=346603801_153500122_2_0_0__14000&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),Hotel San Vitale,151,https://www.booking.com/hotel/it/san-vitale.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=8582302_200103653_0_33_0&highlighted_blocks=8582302_200103653_0_33_0&matching_block_id=8582302_200103653_0_33_0&sr_pri_blocks=8582302_200103653_0_33_0__14000&from=searchresults#hotelTmpl
POINT (10.920000000000073 44.64770000000004),Park Hotel,151,https://www.booking.com/hotel/it/park-castel-san-pietro-terme.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=87028502_204873236_0_9_0&highlighted_blocks=87028502_204873236_0_9_0&matching_block_id=87028502_204873236_0_9_0&sr_pri_blocks=87028502_204873236_0_9_0__14000&from=searchresults#hotelTmpl
POINT (10.590100000000064 44.33125000000007),Hotel Caselle,151,https://www.booking.com/hotel/it/caselle.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=25171906_95171936_0_1_0&highlighted_blocks=25171906_95171936_0_1_0&matching_block_id=25171906_95171936_0_1_0&sr_pri_blocks=25171906_95171936_0_1_0__14000&from=searchresults#hotelTmpl
POINT (11.659350000000074 46.377080000000035),Albergo Aurora,173,https://www.booking.com/hotel/it/albergo-aurora-castenaso.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=29882301_190244856_0_0_0&highlighted_blocks=29882301_190244856_0_0_0&matching_block_id=29882301_190244856_0_0_0&sr_pri_blocks=29882301_190244856_0_0_0__16000&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),Home Story,173,https://www.booking.com/hotel/it/home-story.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=189530403_203092610_2_1_0&highlighted_blocks=189530403_203092610_2_1_0&matching_block_id=189530403_203092610_2_1_0&sr_pri_blocks=189530403_203092610_2_1_0__16000&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),Agriturismo Podere Casino,155,https://www.booking.com/hotel/it/agriturismo-podere-casino-mezzolara.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=317413303_200943378_0_1_0&highlighted_blocks=317413303_200943378_0_1_0&matching_block_id=317413303_200943378_0_1_0&sr_pri_blocks=317413303_200943378_0_1_0__14400&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),Terantiga,158,https://www.booking.com/hotel/it/terantiga.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=89357703_295521264_2_1_0&highlighted_blocks=89357703_295521264_2_1_0&matching_block_id=89357703_295521264_2_1_0&sr_pri_blocks=89357703_295521264_2_1_0__14600&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),Hotel Elefante Bianco,183,https://www.booking.com/hotel/it/elefante-bianco.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=17746702_126708701_0_1_0&highlighted_blocks=17746702_126708701_0_1_0&matching_block_id=17746702_126708701_0_1_0&sr_pri_blocks=17746702_126708701_0_1_0__17000&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),il leccio,183,https://www.booking.com/hotel/it/il-leccio-san-lazzaro-di-savena.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=204205701_236108144_2_2_0&highlighted_blocks=204205701_236108144_2_2_0&matching_block_id=204205701_236108144_2_2_0&sr_pri_blocks=204205701_236108144_2_2_0__17000&from=searchresults#hotelTmpl
POINT (10.954120000000046 44.62028000000004),La Barchessa Country House,164,https://www.booking.com/hotel/it/la-barchessa-country-house.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=175582703_90726660_2_1_0&highlighted_blocks=175582703_90726660_2_1_0&matching_block_id=175582703_90726660_2_1_0&sr_pri_blocks=175582703_90726660_2_1_0__15200&from=searchresults#hotelTmpl
POINT (10.86826000000002 44.65076000000005),Phi Hotel Emilia,189,https://www.booking.com/hotel/it/eurogardenhotelbologna.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=8063727_88153689_2_34_0&highlighted_blocks=8063727_88153689_2_34_0&matching_block_id=8063727_88153689_2_34_0&sr_pri_blocks=8063727_88153689_2_34_0__17483&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
POINT (10.699580000000026 44.46234000000004),Antico Noce,190,https://www.booking.com/hotel/it/agriturismo-antico-noce.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=100339201_88473849_0_1_0&highlighted_blocks=100339201_88473849_0_1_0&matching_block_id=100339201_88473849_0_1_0&sr_pri_blocks=100339201_88473849_0_1_0__17600&from=searchresults#hotelTmpl
POINT (10.84165501447471 44.64635499503758),La Colombarola,190,https://www.booking.com/hotel/it/la-colombarola.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=147763002_235387488_2_1_0&highlighted_blocks=147763002_235387488_2_1_0&matching_block_id=147763002_235387488_2_1_0&sr_pri_blocks=147763002_235387488_2_1_0__17600&from=searchresults#hotelTmpl
POINT (10.93381000000005 44.643230000000074),Agriturismo La Riccardina,167,https://www.booking.com/hotel/it/agriturismo-la-riccardina.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=56391302_200941162_0_1_0&highlighted_blocks=56391302_200941162_0_1_0&matching_block_id=56391302_200941162_0_1_0&sr_pri_blocks=56391302_200941162_0_1_0__15500&from=searchresults#hotelTmpl
POINT (10.92947996730426 44.64480000531525),Albergo Elena,194,https://www.booking.com/hotel/it/albergo-elena-pianoro.it.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF9tb2RlbmEsIG1vZGVuYSwgaXRhbHksIGl0YWxpYUgUWARorQKIAQGYARS4ARjIAQzYAQHoAQH4AQOIAgGoAgS4ApHdqZ4GwAIB0gIkZTJlMTQyYTUtN2I4Zi00ZWE1LTgzNTAtNzIwMjAwOWQ4NDBh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-01-20&checkout=2023-01-22&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=price&srpvid=227b4a88aaac038e&srepoch=1674210963&all_sr_blocks=86387102_226143487_0_1_0&highlighted_blocks=86387102_226143487_0_1_0&matching_block_id=86387102_226143487_0_1_0&sr_pri_blocks=86387102_226143487_0_1_0__18000&from=searchresults#hotelTmpl
